varname,item,country,date,N,agree,disagree,dk
usianaftamex_wag,Do you think that NAFTA will increase wages?,Mexico,9/15/1993,1508,63,14,23
usianaftamex_job,Do you think that NAFTA will increase jobs available?,Mexico,9/15/1993,1508,50.6,19.3,30.1
mpresnafta1mex,Do you agree with your country joining a FTA with the US and Canada to reduce tariffs and restrictions to trade?,Mexico,8/16/1993,3502,58.5,12.6,28.9
mpresnafta2mex,"Overall, do you agree with your country joining NAFTA?",Mexico,8/16/1993,3502,63.2,14,22.8
mpresnaftamex_ind,Do you think that NAFTA will be beneficial for the average citizen?,Mexico,8/16/1993,3502,64,17,19
mpresnafta2mex,"Overall, do you agree with your country joining NAFTA?",Mexico,11/20/1993,3493,70.3,15.7,14
usiafreemex,Some people say that unrestricted entry of foreign imports is beneficial because consumers pay less. Others want to restrict imports to protect jobs. Do you agree with no restrictions?,Mexico,8/21/1994,295,44.5,50,5.5
usianaftamex_dev,Do you think that NAFTA will be beneficial for the country's economic development?,Mexico,8/21/1994,295,64.5,30.5,5
usianaftamex_dev,Do you think that NAFTA is beneficial for the country's economic development?,Mexico,8/20/1995,1039,25.4,58.6,16
usianaftamex_devlong,Do you think that NAFTA will be beneficial in the long term (10 years) for the country's economic development?,Mexico,8/20/1995,1039,52.7,34.3,13
lbalcamex,"All things considered, would you say that [nation] benefits or not from its future links with regional trading block? (benefits, doesn't benefit, dk)",Mexico,5/30/1995,1204,47.51,31.06,21.43
lbfreemex,"Do you think that trade with other countries, both the buying and selling of products, helps [nation's] economy or harms [nation's] economy? (helps, harms)",Mexico,6/30/1996,1526,62.39,25.82,11.79
lbalcamex,"All things considered, would you say that [nation] benefits or not from its future links with [regional trading block] (Much Benefit, Some benefit, Low benefit, Doesn't benefit at all)",Mexico,6/30/1996,1526,30.74,49.35,19.92
usianaftamex_dev,Do you think that NAFTA is beneficial for the country's economic development?,Mexico,3/19/1997,1016,52,46.3,1.7
usianaftamex_devlong,Do you think that NAFTA will be beneficial in the long term (5 years) for the country's economic development?,Mexico,3/19/1997,1016,66,32.5,1.5
lbfreemex,"How do you think imports influence over the economy? (Help a lot, help a little, damage a little, damage a lot)",Mexico,12/31/1997,1105,55.38,39.73,4.89
wsjfreemex,Do you think that free trade is good or bad for our country?,Mexico,3/30/1998,0,70,,
usianaftamex_dev,Do you think that NAFTA is beneficial for the country's economic development?,Mexico,4/30/1998,1510,52.6,41.2,6.2
usiaalcamex,Do you think that the FTAAS will benefit the economy of your country?,Mexico,4/30/1998,1510,67,16,17
usiauspolmex,What is your opinion on the US policy of free trade in Mexico?,Mexico,11/18/1998,1502,58.5,30.5,11
usianaftamex_dev,Do you think that NAFTA is beneficial for the country's economic development?,Mexico,11/18/1998,1502,51,41.2,7.8
usianaftamex_dev,Do you think that NAFTA is beneficial for the country's economic development?,Mexico,12/7/2000,1500,56,42,2
usiaalcamex,Do you think that the FTAAS will benefit the economy of your country?,Mexico,12/7/2000,1500,83,12,5
usiaglobmex,Do you think globalization has been beneficial to your country's economy?,Mexico,12/7/2000,519,73,22,5
lbalcamex,Benefits of ALCA in the economic development of the country,Mexico,5/12/2001,1253,67.91,25.86,6.23
pewglobmex,What do you think about the growing trade and business ties between your country and other countries?,Mexico,7/27/2002,996,78,13,8
cimaalcamex,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Mexico,12/20/2003,404,46,33,21
cimaglobmex,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Mexico,12/20/2003,404,40,45,15
lbftamex_ind,"How do you think the Free Trade Agreements (NAFTA, CAFTA) and the Commercial Agreements benefit you and your family?",Mexico,8/12/2003,1200,37.25,59.59,3.17
cimaalcamex,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Mexico,5/30/2004,506,49,35,16
cimaglobmex,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Mexico,5/30/2004,506,38,51,11
cidealcamex,"M‚xico y la mayor¡a de los pa¡ses del continente americanoest n discutiendo un Acuerdo de Libre Comercio de las Am‚ricas parecido al TNAFTA. ¨Est  usted a favor o en contra de esta idea? (""depende""=dk)",Mexico,7/19/2004,1500,62,19,19
cideglobalmex,"¨Cree usted que el mayor contacto de nuestra econom¡a con otras econom¡as en el mundo, lo que se conoce como globalizaci¢n, es generalmente bueno o generalmente malo para el pais? (""neither"", ""depende""=dk)",Mexico,7/19/2004,1500,34,31,35
cidenaftamex,"En general, ¨cree usted que el NAFTA es bueno o malo para la economia de su pais?",Mexico,7/19/2004,1500,44,39,17
lapftamex,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Mexico,2/28/2004,1556,46.6,29,24.4
lbftamex_job,"Do you believe that free trade treaties have a very positive, positive, negative, very negative impact over job opportunities",Mexico,6/7/2004,1200,46.25,31.5,22.25
lbalcamex,"Do you think that having free trade between your country, other Latin American countries, and the U.S. would lead to greater economic prosperity",Mexico,6/7/2004,1200,50.25,39.75,10
cidetrademex,"En general, ¨cree usted que el comercio internacional es bueno o malo para la economia de su pais?",Mexico,7/27/2006,756,59,27,15
cidenaftamex,"En general, ¨cree usted que el NAFTA es bueno o malo para la economia de su pais?",Mexico,7/27/2006,743,55,30,20
cideincreasemex,¨Est  usted de acuerdo o en desacuerdo con que su pais incremente su comercio con otras naciones?,Mexico,7/27/2006,743,79,14,7
lbftamex_job,impact of economic integration agreements on job opportunities,Mexico,11/5/2006,1200,46.67,24.25,29.08
lbftamex_acc,impact of economic integration agreements on access to goods,Mexico,11/5/2006,1200,53.5,16.83,29.66
lbftamex_ind,impact of economic integration agreements on quality of life,Mexico,11/5/2006,1200,50.75,17.33,31.91
lbftamex_dev,impact of economic integration agreements on country development,Mexico,11/5/2006,1200,52,18,30
lbfreemex,Do you agree with economic integration agreements that allow you to freely buy goods and services from any other country in the region and that that country can freely sell goods and services in your country,Mexico,11/5/2006,1200,62.17,29.75,8.08
pewglobmex,What do you think about the growing trade and business ties between your country and other countries?,Mexico,4/27/2007,828,77,19,4
lbfreemex,Agree with the elimination of import and export taxes in order to increase regional integration,Mexico,10/9/2007,1200,52.25,39.91,7.83
lbftamex_job,International free trade treaties have a very positive impact on job opportunities,Mexico,10/9/2007,1200,54.17,19.92,25.92
cidetrademex,"En general, ¨cree usted que el comercio internacional es bueno o malo para la economia de su pais?",Mexico,9/6/2008,2395,61,26,13
pewglobmex,What do you think about the growing trade and business ties between your country and other countries?,Mexico,3/31/2008,805,69,26,5
lapftamex,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Mexico,2/28/2008,1560,41.6,34.3,24.1
cimaftamex,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Mexico,3/31/2009,455,58,35,7
cimaglobmex,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Mexico,3/31/2009,455,49,47,4
pewglobmex,What do you think about the growing trade and business ties between your country and other countries?,Mexico,6/2/2009,1000,79,16,6
cidetrademex,"En general, ¨cree usted que el comercio internacional es bueno o malo para la economia de su pais?",Mexico,10/29/2010,2400,63,21,15
pewglobmex,What do you think about the growing trade and business ties between your country and other countries?,Mexico,5/6/2010,1300,71,19,10
lapftamex,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Mexico,2/28/2010,1562,45.6,28.4,26
cimaftamex,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Mexico,3/31/2011,445,55,,
pewglobmex,What do you think about the growing trade and business ties between your country and other countries?,Mexico,4/7/2011,800,79,17,4
cidetrademex,"En general, ¨cree usted que el comercio internacional es bueno o malo para la economia de su pais?",Mexico,9/20/2012,1200,64,22,9
cidetrade2mex,"El libre comercio trae ventajas (por ejemplo, nuevos mercados para productos mexicanos) como desventajas (por ejemplo, mayor competencia de productos extranjeros). Tomando esto en cuenta, ¨cree usted que el libre comercio es bueno o malo para la economia de su pais?",Mexico,9/20/2012,1200,61,26,13
cidetrademex,"En general, ¨cree usted que el comercio internacional es bueno o malo para la economia de su pais?",Mexico,12/22/2014,1212,61,19,20
pewglobmex,What do you think about the growing trade and business ties between your country and other countries?,Mexico,5/2/2014,1000,71,24,5
pewglobmex_wag,Do you agree that trade with other countries leads to an increase in the wages of your country's workers?,Mexico,5/2/2014,1000,65,28,7
pewglobmex_job,Do you agree that trade with other countries leads to jobs creation in your country?,Mexico,5/2/2014,1000,68,26,6
pewglobmex_pri,Do you agree that trade with other countries leads to a decrease in the price of products sold in your country?,Mexico,5/2/2014,1000,51,43,6
lbfreemex,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Mexico,6/15/2016,1200,58.84,34.58,6.58
lbfreemex,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Mexico,8/28/2017,1200,73.41,24.09,2.5
pewglobmex,What do you think about the growing trade and business ties between your country and other countries?,Mexico,6/30/2018,915,79,19,2
pewglobmex_wag,Do you agree that trade with other countries leads to an increase in the wages of your country's workers?,Mexico,6/30/2018,915,75,21,4
pewglobmex_job,Do you agree that trade with other countries leads to jobs creation in your country?,Mexico,6/30/2018,915,69,26,5
pewglobmex_pri,Do you agree that trade with other countries leads to a decrease in the price of products sold in your country?,Mexico,6/30/2018,915,52,45,3
lbfreenic,"Do you think that trade with other countries, both the buying and selling of products, helps [nation's] economy or harms [nation's] economy? (helps, harms)",Nicaragua,9/1/1996,1034,79.88,10.83,9.29
lbalcanic,"All things considered, would you say that [nation] benefits or not from its future links with [regional trading block] (Much Benefit, Some benefit, Low benefit, Doesn't benefit at all)",Nicaragua,9/1/1996,1034,45.84,39.84,14.31
lbfreenic,"How do you think imports influence over the economy? (Help a lot, help a little, damage a little, damage a lot)",Nicaragua,12/27/1997,1002,83.13,13.58,3.29
lbalcanic,Benefits of ALCA in the economic development of the country,Nicaragua,5/8/2001,1005,69.05,21.99,8.96
lbftanic_ind,"How do you think the Free Trade Agreements (NAFTA, CAFTA) and the Commercial Agreements benefit you and your family?",Nicaragua,8/11/2003,1010,37.82,43.66,18.51
lapftanic,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Nicaragua,2/28/2004,1430,43.8,28.2,28
lbftanic_job,"Do you believe that free trade treaties have a very positive, positive, negative, very negative impact over job opportunities",Nicaragua,6/1/2004,1000,47.6,19.7,32.7
lbalcanic,"Do you think that having free trade between your country, other Latin American countries, and the U.S. would lead to greater economic prosperity",Nicaragua,6/1/2004,1000,61.3,18.4,20.3
lbftanic_job,impact of economic integration agreements on job opportunities,Nicaragua,11/5/2006,1000,57.3,25,17.7
lbftanic_acc,impact of economic integration agreements on access to goods,Nicaragua,11/5/2006,1000,58.6,20.8,20.6
lbftanic_ind,impact of economic integration agreements on quality of life,Nicaragua,11/5/2006,1000,56.2,23.3,20.5
lbftanic_dev,impact of economic integration agreements on country development,Nicaragua,11/5/2006,1000,55.8,24.8,19.4
lbfreenic,Do you agree with economic integration agreements that allow you to freely buy goods and services from any other country in the region and that that country can freely sell goods and services in your country,Nicaragua,11/5/2006,1000,73.2,20.7,6.1
lbfreenic,Agree with the elimination of import and export taxes in order to increase regional integration,Nicaragua,10/9/2007,1000,53.1,39.9,7
lbftanic_job,International free trade treaties have a very positive impact on job opportunities,Nicaragua,10/9/2007,1000,66,14.5,19.5
lapftanic,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Nicaragua,2/28/2008,1540,33.9,33.7,32.4
cimaftanic,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Nicaragua,3/31/2009,301,58,31,11
cimaglobnic,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Nicaragua,3/31/2009,301,53,39,8
lapftanic,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Nicaragua,2/28/2010,1540,55.3,21.8,23
cimaftanic,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Nicaragua,3/31/2011,301,64,,
pewglobnic,What do you think about the growing trade and business ties between your country and other countries?,Nicaragua,5/25/2014,1008,87,10,2
lbfreenic,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Nicaragua,2/15/2015,1000,70.7,17.5,11.8
lbfreenic,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Nicaragua,6/15/2016,1000,84.4,9.4,6.2
lbfreenic,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Nicaragua,8/28/2017,1000,83.1,12,4.9
lbfreepan,"Do you think that trade with other countries, both the buying and selling of products, helps [nation's] economy or harms [nation's] economy? (helps, harms)",Panama,9/1/1996,1005,76.72,11.04,12.24
lbalcapan,"All things considered, would you say that [nation] benefits or not from its future links with [regional trading block] (Much Benefit, Some benefit, Low benefit, Doesn't benefit at all)",Panama,9/1/1996,1005,41,41.59,17.41
lbfreepan,"How do you think imports influence over the economy? (Help a lot, help a little, damage a little, damage a lot)",Panama,12/22/1997,1021,71.79,20.57,7.64
wsjfreepan,Do you think that free trade is good or bad for our country?,Panama,3/30/1998,0,74,,
wsjpta1pan,Do you believe (Mercosur/CACM) has helped or hurt with respect to you and your family?,Panama,3/30/1999,754,30,,
wsjpta2pan,Do you believe (Mercosur/CACM) has helped or hurt with respect to the economy of the country?,Panama,3/30/1999,754,49,,
lbalcapan,Benefits of ALCA in the economic development of the country,Panama,5/8/2001,1000,51.9,42.2,5.9
cimaalcapan,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Panama,12/20/2003,100,59,21,20
cimaglobpan,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Panama,12/20/2003,100,35,55,10
lbftapan_ind,"How do you think the Free Trade Agreements (NAFTA, CAFTA) and the Commercial Agreements benefit you and your family?",Panama,8/10/2003,1004,27.79,48.5,23.71
cimaalcapan,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Panama,5/30/2004,211,56,27,17
cimaglobpan,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Panama,5/30/2004,211,38,57,5
lapftapan,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Panama,2/28/2004,1639,55.7,24.3,20
lbftapan_job,"Do you believe that free trade treaties have a very positive, positive, negative, very negative impact over job opportunities",Panama,6/3/2004,1000,43.4,24.6,32
lbalcapan,"Do you think that having free trade between your country, other Latin American countries, and the U.S. would lead to greater economic prosperity",Panama,6/3/2004,1000,50.8,25,24.2
lapftapan,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Panama,2/28/2006,1536,34.9,30.5,34.6
lbftapan_job,impact of economic integration agreements on job opportunities,Panama,11/5/2006,1008,59.72,16.07,24.2
lbftapan_acc,impact of economic integration agreements on access to goods,Panama,11/5/2006,1008,62.99,13.19,23.81
lbftapan_ind,impact of economic integration agreements on quality of life,Panama,11/5/2006,1008,58.93,17.96,23.11
lbftapan_dev,impact of economic integration agreements on country development,Panama,11/5/2006,1008,61.01,16.27,22.72
lbfreepan,Do you agree with economic integration agreements that allow you to freely buy goods and services from any other country in the region and that that country can freely sell goods and services in your country,Panama,11/5/2006,1008,68.65,20.24,11.11
lbfreepan,Agree with the elimination of import and export taxes in order to increase regional integration,Panama,10/9/2007,1008,41.77,39.78,18.45
lbftapan_job,International free trade treaties have a very positive impact on job opportunities,Panama,10/9/2007,1008,42.36,19.84,37.8
lapftapan,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Panama,2/28/2008,1536,39.9,33.8,26.4
cimaftapan,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Panama,3/31/2009,506,59,29,12
cimaglobpan,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Panama,3/31/2009,506,48,41,11
lapftapan,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Panama,2/28/2010,1536,53.3,18.5,28.2
cimaftapan,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Panama,4/30/2011,286,64,,
lbfreepan,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Panama,2/15/2015,1000,59.2,34.4,6.4
lbfreepan,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Panama,6/15/2016,1000,58.8,34.6,6.6
lbfreepan,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Panama,8/28/2017,1000,60.8,34,5.2
lbalcapry,"All things considered, would you say that [nation] benefits or not from its future links with regional trading block? (benefits, doesn't benefit, dk)",Paraguay,6/30/1995,587,55.54,22.83,21.63
lbfreepry,"Do you think that trade with other countries, both the buying and selling of products, helps [nation's] economy or harms [nation's] economy? (helps, harms)",Paraguay,7/1/1996,598,58.03,35.95,6.02
lbalcapry,"All things considered, would you say that [nation] benefits or not from its future links with [regional trading block] (Much Benefit, Some benefit, Low benefit, Doesn't benefit at all)",Paraguay,7/1/1996,598,26.59,56.18,17.23
lbfreepry,"How do you think imports influence over the economy? (Help a lot, help a little, damage a little, damage a lot)",Paraguay,12/20/1997,575,55.82,29.05,15.13
wsjfreepry,Do you think that free trade is good or bad for our country?,Paraguay,3/30/1998,0,59,,
wsjpta1pry,Do you believe (Mercosur/CACM) has helped or hurt with respect to you and your family?,Paraguay,3/30/1999,478,12,,
wsjpta2pry,Do you believe (Mercosur/CACM) has helped or hurt with respect to the economy of the country?,Paraguay,3/30/1999,478,26,,
lbalcapry,Benefits of ALCA in the economic development of the country,Paraguay,5/6/2001,604,71.85,19.7,8.44
lbftapry_ind,"How do you think the Free Trade Agreements (NAFTA, CAFTA) and the Commercial Agreements benefit you and your family?",Paraguay,8/29/2003,600,63,27.33,9.66
cimaalcapry,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Paraguay,5/30/2004,199,23,43,34
cimaglobpry,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Paraguay,5/30/2004,199,51,32,17
lbftapry_job,"Do you believe that free trade treaties have a very positive, positive, negative, very negative impact over job opportunities",Paraguay,6/2/2004,600,45,12,43
lbalcapry,"Do you think that having free trade between your country, other Latin American countries, and the U.S. would lead to greater economic prosperity",Paraguay,6/2/2004,600,66.17,16.33,17.5
lbftapry_job,impact of economic integration agreements on job opportunities,Paraguay,11/5/2006,1200,43.83,12.5,43.66
lbftapry_acc,impact of economic integration agreements on access to goods,Paraguay,11/5/2006,1200,48.58,12,39.42
lbftapry_ind,impact of economic integration agreements on quality of life,Paraguay,11/5/2006,1200,45.33,12.92,41.75
lbftapry_dev,impact of economic integration agreements on country development,Paraguay,11/5/2006,1200,47.58,11.58,40.84
lbfreepry,Do you agree with economic integration agreements that allow you to freely buy goods and services from any other country in the region and that that country can freely sell goods and services in your country,Paraguay,11/5/2006,1200,61.67,36,2.33
lbfreepry,Agree with the elimination of import and export taxes in order to increase regional integration,Paraguay,10/9/2007,1200,44.75,46.34,8.92
lbftapry_job,International free trade treaties have a very positive impact on job opportunities,Paraguay,10/9/2007,1200,44.83,14.08,41.09
lapftapry,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Paraguay,2/28/2008,1166,26.9,44.3,28.7
cimaftapry,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Paraguay,3/31/2009,500,53,33,14
cimaglobpry,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Paraguay,3/31/2009,500,43,43,14
lapftapry,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Paraguay,2/28/2010,1502,32.4,39.2,28.4
cimaftapry,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Paraguay,3/31/2011,500,56,,
lbfreepry,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Paraguay,2/15/2015,1200,58.92,18.16,22.92
lbfreepry,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Paraguay,6/15/2016,1200,87.67,6.08,6.25
lbfreepry,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Paraguay,8/28/2017,1200,85.25,8.92,5.83
usiafreeper,Some people say that unrestricted entry of foreign imports is beneficial because consumers pay less. Others want to restrict imports to protect jobs. Do you agree with no restrictions?,Peru,9/21/1994,1200,37,55.6,7.4
lbalcaper,"All things considered, would you say that [nation] benefits or not from its future links with regional trading block? (benefits, doesn't benefit, dk)",Peru,6/30/1995,1226,71.53,10.52,17.95
usiauspolper,What is your opinion on the US policy of free trade in Latin America?,Peru,12/4/1996,1203,68,10,22
lbfreeper,"Do you think that trade with other countries, both the buying and selling of products, helps [nation's] economy or harms [nation's] economy? (helps, harms)",Peru,6/30/1996,1200,63.08,18.42,18.5
lbalcaper,"All things considered, would you say that [nation] benefits or not from its future links with [regional trading block] (Much Benefit, Some benefit, Low benefit, Doesn't benefit at all)",Peru,6/30/1996,1200,28.08,45,26.92
lbfreeper,"How do you think imports influence over the economy? (Help a lot, help a little, damage a little, damage a lot)",Peru,12/12/1997,1054,60.53,22.86,16.6
wsjfreeper,Do you think that free trade is good or bad for our country?,Peru,3/30/1998,0,85,,
usiaalcaper,Do you think that the FTAAS will benefit the economy of your country?,Peru,12/18/2000,1212,64.4,19.6,16
usiaglobper,"Do you think globalization, understood as the expansion of global markets and free trade to all parts of the world, has been beneficial to your country's economy?",Peru,12/18/2000,265,51,28.7,20.3
lbalcaper,Benefits of ALCA in the economic development of the country,Peru,4/24/2001,1023,71.16,14.37,14.47
pewglobper,What do you think about the growing trade and business ties between your country and other countries?,Peru,7/21/2002,711,83,13,4
cimaalcaper,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Peru,2/14/2003,543,62,11,27
cimaglobper,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Peru,2/14/2003,543,64,27,9
lbftaper_ind,"How do you think the Free Trade Agreements (NAFTA, CAFTA) and the Commercial Agreements benefit you and your family?",Peru,8/29/2003,1200,25.59,46.33,28.08
cimaalcaper,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Peru,5/30/2004,604,56,17,27
cimaglobper,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Peru,5/30/2004,604,51,35,14
lbftaper_job,"Do you believe that free trade treaties have a very positive, positive, negative, very negative impact over job opportunities",Peru,5/28/2004,1200,45.33,14.41,40.25
lbalcaper,"Do you think that having free trade between your country, other Latin American countries, and the U.S. would lead to greater economic prosperity",Peru,5/28/2004,1200,69.92,13.58,16.5
lbftaper_job,impact of economic integration agreements on job opportunities,Peru,11/5/2006,1200,54.41,19.25,26.33
lbftaper_acc,impact of economic integration agreements on access to goods,Peru,11/5/2006,1200,66.25,11.75,22
lbftaper_ind,impact of economic integration agreements on quality of life,Peru,11/5/2006,1200,55.17,19.92,24.91
lbftaper_dev,impact of economic integration agreements on country development,Peru,11/5/2006,1200,59.75,17.66,22.58
lbfreeper,Do you agree with economic integration agreements that allow you to freely buy goods and services from any other country in the region and that that country can freely sell goods and services in your country,Peru,11/5/2006,1200,71.16,21.41,7.42
pewglobper,What do you think about the growing trade and business ties between your country and other countries?,Peru,4/29/2007,800,81,15,3
lbfreeper,Agree with the elimination of import and export taxes in order to increase regional integration,Peru,10/9/2007,1200,57.67,30.09,12.25
lbftaper_job,International free trade treaties have a very positive impact on job opportunities,Peru,10/9/2007,1200,52,16.58,31.42
cidetradeper,"En general, ¨cree usted que el comercio internacional es bueno o malo para la economia de su pais?",Peru,9/8/2008,1235,67,22,11
cideglobalper,"¨Cree usted que el mayor contacto de nuestra econom¡a con otras econom¡as en el mundo, lo que se conoce como globalizaci¢n, es generalmente bueno o generalmente malo para el pais? (""neither"", ""depende""=dk)",Peru,9/8/2008,1235,62,12,26
lapftaper,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Peru,2/28/2008,1500,39.4,33.7,26.9
cimaftaper,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Peru,3/31/2009,523,70,21,9
cimaglobper,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Peru,3/31/2009,523,70,21,9
cidetradeper,"En general, ¨cree usted que el comercio internacional es bueno o malo para la economia de su pais?",Peru,12/2/2010,1516,68,13,19
cideglobalper,"¨Cree usted que el mayor contacto de nuestra econom¡a con otras econom¡as en el mundo, lo que se conoce como globalizaci¢n, es generalmente bueno o generalmente malo para el pais? (""neither"", ""depende""=dk)",Peru,12/2/2010,1516,63,10,27
lapftaper,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Peru,2/28/2010,1500,38.3,30.1,31.6
cimaftaper,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Peru,4/30/2011,665,66,,
lapftaper,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Peru,2/10/2012,1500,49.4,22.5,28.1
cidetradeper,"En general, ¨cree usted que el comercio internacional es bueno o malo para la economia de su pais?",Peru,11/30/2014,1200,71,9,20
cideglobalper,"¨Cree usted que el mayor contacto de nuestra econom¡a con otras econom¡as en el mundo, lo que se conoce como globalizaci¢n, es generalmente bueno o generalmente malo para el pais? (""neither"", ""depende""=dk)",Peru,11/30/2014,1200,50,11,39
pewglobper,What do you think about the growing trade and business ties between your country and other countries?,Peru,5/2/2014,1000,81,12,7
lbfreeper,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Peru,2/15/2015,1200,68.75,19.84,11.42
lbfreeper,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Peru,6/15/2016,1200,59,30.17,10.83
lbfreeper,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Peru,8/28/2017,1200,68.09,25.84,6.08
usiausftauru,Do you that joining a FTA with the US will contribute to the development of your country's economy?,Uruguay,8/11/1990,1095,30.5,39.4,30.1
lbalcauru,"All things considered, would you say that [nation] benefits or not from its future links with regional trading block? (benefits, doesn't benefit, dk)",Uruguay,6/30/1995,1212,55.53,23.35,21.12
lbfreeuru,"Do you think that trade with other countries, both the buying and selling of products, helps [nation's] economy or harms [nation's] economy? (helps, harms)",Uruguay,7/1/1996,1200,68.92,19.83,11.25
